"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-09-18 ~ 2024-09-17"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"48","인천광역시 부평구 부개동","148-16","0148","0016","주영팰리스Ⅱ","49.8800","202409","03","18,000","-","10","개인","개인","2015","동수천로 39","-","중개거래","인천 부평구","24.09.06"
"49","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","59.9600","202409","03","49,500","-","11","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"50","인천광역시 부평구 산곡동","518","0518","0000","부평샬레아넬리스","59.8669","202409","03","32,200","-","5","개인","개인","2019","원적로 238","-","중개거래","인천 부평구","-"
"51","인천광역시 부평구 부평동","534-96","0534","0096","두산위브","59.7600","202409","02","36,200","-","9","개인","개인","2005","경원대로1344번길 8","-","중개거래","인천 부평구","-"
"52","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202409","02","33,000","-","17","개인","개인","1998","부개로 11","-","중개거래","인천 부평구","-"
"53","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9700","202409","02","26,500","-","15","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"54","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","52.4300","202409","02","34,800","-","15","개인","개인","1986","부평문화로 37","-","중개거래","인천 계양구, 인천 부평구","-"
"55","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","39.9900","202409","02","18,300","-","5","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"56","인천광역시 부평구 청천동","453","0453","0000","청천우민늘푸른아파트","59.6518","202409","02","31,000","-","17","개인","개인","2020","평천로141번길 11","-","중개거래","인천 부평구","-"
"57","인천광역시 부평구 삼산동","56-3","0056","0003","삼보","55.1200","202409","02","17,200","-","11","개인","개인","1990","후정동로47번길 4","-","중개거래","인천 부평구","-"
"58","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","69.2824","202409","01","53,800","-","9","개인","법인","2022","열우물로 90","-","중개거래","인천 부평구","-"
"59","인천광역시 부평구 부평동","377-37","0377","0037","카리스뷰(2차)","40.0400","202409","01","17,200","-","9","개인","개인","2015","장제로 163","-","중개거래","인천 부평구","-"
"60","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","39.4800","202408","31","17,000","3","6","개인","개인","1989","충선로 191","-","중개거래","인천 부평구","24.09.10"
"61","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","59.4000","202408","31","25,800","-","4","개인","개인","1993","안남로 260","-","중개거래","인천 부평구","-"
"62","인천광역시 부평구 산곡동","179-92","0179","0092","현대(179-92)","84.9400","202408","31","31,500","-","4","개인","개인","1999","원적로269번길 15","-","중개거래","인천 부평구","-"
"63","인천광역시 부평구 산곡동","180-116","0180","0116","삼보","57.4200","202408","31","16,000","-","3","개인","개인","1985","원적로 288","-","중개거래","인천 부평구","-"
"64","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","84.9860","202408","31","61,900","-","16","개인","개인","2022","산곡로 31","-","중개거래","인천 부평구, 인천 서구","-"
"65","인천광역시 부평구 산곡동","180-78","0180","0078","부평신일해피트리더루츠","84.9860","202408","31","61,900","-","16","개인","개인","2022","산곡로 31","20240904","중개거래","인천 부평구","-"
"66","인천광역시 부평구 부평동","738-45","0738","0045","에코파인","59.3700","202408","31","33,000","-","20","개인","개인","2018","광장로24번길 34","-","중개거래","인천 부평구","-"
"67","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202408","31","36,200","-","9","개인","개인","1996","부흥로 246","-","중개거래","인천 부평구","-"
"68","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202408","31","35,000","-","4","개인","개인","1996","부흥로 246","-","중개거래","인천 부평구","-"
"69","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","76.7400","202408","31","42,800","-","1","개인","개인","1989","부평문화로 37","-","중개거래","인천 부평구","-"
"70","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","59.3900","202408","31","26,900","-","2","개인","개인","2000","부평북로 463","-","중개거래","인천 부평구","-"
"71","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","130.0383","202408","31","90,000","-","6","개인","개인","2004","굴포로 158","-","중개거래","인천 부평구","-"
"72","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","130.0383","202408","31","93,000","-","11","개인","개인","2004","굴포로 158","-","중개거래","인천 부평구","-"
"73","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","84.0700","202408","31","65,000","-","14","개인","개인","2004","체육관로 27","-","중개거래","인천 부평구","-"
"74","인천광역시 부평구 십정동","406-3","0406","0003","동암비버리씨티","12.0885","202408","31","4,700","-","10","개인","개인","2014","열우물로25번길 14-3","-","중개거래","인천 남동구","-"
"75","인천광역시 부평구 부평동","534-96","0534","0096","두산위브","59.7600","202408","30","38,800","-","3","개인","개인","2005","경원대로1344번길 8","-","중개거래","인천 부평구","-"
"76","인천광역시 부평구 산곡동","307","0307","0000","현대1차","108.5600","202408","30","45,500","-","14","개인","개인","1986","경원대로 1269","-","중개거래","인천 부평구","-"
"77","인천광역시 부평구 산곡동","370-399","0370","0399","현대3차","84.9400","202408","30","37,000","-","15","개인","개인","1989","마장로 121","-","중개거래","인천 부평구","-"
"78","인천광역시 부평구 산곡동","370-399","0370","0399","현대3차","84.9450","202408","30","39,000","-","8","개인","개인","1990","마장로 121","-","중개거래","인천 부평구","-"
"79","인천광역시 부평구 갈산동","374","0374","0000","아주","84.7500","202408","30","34,000","-","10","개인","개인","1992","갈월서로 26","-","중개거래","인천 부평구","-"
"80","인천광역시 부평구 부개동","494","0494","0000","성일","50.8800","202408","30","23,000","-","12","개인","개인","1990","수변로52번길 6","-","중개거래","인천 부평구","-"
"81","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202408","30","27,500","-","1","개인","개인","1998","부개로 11","-","중개거래","인천 부평구","-"
"82","인천광역시 부평구 산곡동","518","0518","0000","부평샬레아넬리스","59.9818","202408","29","31,000","-","15","개인","개인","2019","원적로 238","-","중개거래","서울 영등포구, 인천 부평구","-"
"83","인천광역시 부평구 부평동","98-85","0098","0085","해송파크뷰","48.9500","202408","29","14,800","-","2","개인","개인","2015","장제로 182","-","중개거래","인천 부평구","-"
"84","인천광역시 부평구 부평동","65-124","0065","0124","한국1","59.8020","202408","29","25,500","-","17","개인","개인","1998","부영로166번길 12","-","중개거래","인천 부평구","-"
"85","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202408","29","43,000","-","2","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"86","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9700","202408","29","29,500","-","12","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"87","인천광역시 부평구 부개동","494-1","0494","0001","대동(494-1)","84.9400","202408","29","29,250","-","1","개인","개인","1991","부일로113번길 11","-","중개거래","인천 부평구","-"
"88","인천광역시 부평구 십정동","188-2","0188","0002","정원","38.6100","202408","29","8,650","-","5","개인","개인","1987","상정로 19","-","중개거래","인천 부평구","-"
"89","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","59.9300","202408","29","29,000","-","3","개인","개인","2005","이규보로 79","-","중개거래","인천 부평구","-"
"90","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202408","29","48,700","-","15","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"91","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","133.7100","202408","29","47,900","-","8","개인","개인","1998","세월천로 16","-","중개거래","인천 부평구","-"
"92","인천광역시 부평구 갈산동","369","0369","0000","한국1,동아,팬더","84.3600","202408","29","36,300","-","10","개인","개인","1993","갈월동로 34","-","중개거래","인천 부평구","-"
"93","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202408","28","48,000","-","13","개인","개인","2005","굴포로 105","-","중개거래","인천 부평구","-"
"94","인천광역시 부평구 청천동","397","0397","0000","동양","40.5600","202408","28","10,000","-","1","개인","개인","1982","안남로417번길 35","-","중개거래","인천 부평구","-"
"95","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","84.8500","202408","28","44,000","-","15","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","-"
"96","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","59.9600","202408","28","48,900","-","9","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"97","인천광역시 부평구 산곡동","255-1","0255","0001","뉴서울아파트","74.4100","202408","28","24,300","-","8","개인","개인","1991","마장로264번길 33","-","중개거래","인천 부평구","-"
"98","인천광역시 부평구 산곡동","294-35","0294","0035","우성1차2차(294-35)","73.9600","202408","28","24,000","-","1","개인","개인","1989","부영로 165","-","중개거래","인천 부평구","-"
"99","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202408","28","32,950","-","3","개인","개인","1999","원적로 361","20240829","중개거래","인천 부평구","-"
"100","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","59.8800","202408","28","32,950","-","3","개인","개인","1999","원적로 361","-","중개거래","인천 부평구","-"
"101","인천광역시 부평구 산곡동","307","0307","0000","현대1차","108.5600","202408","28","45,000","-","1","개인","개인","1986","경원대로 1269","-","중개거래","인천 부평구","-"
"102","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","39.4800","202408","28","16,000","-","15","개인","개인","1989","충선로 191","-","중개거래","인천 부평구","-"
"103","인천광역시 부평구 부평동","756-421","0756","0421","신성미소지움아파트(101~106동)","59.8040","202408","28","26,000","-","15","개인","개인","2005","경인로 858","-","중개거래","인천 남동구","-"
"104","인천광역시 부평구 부평동","560-2","0560","0002","웰링턴","61.1700","202408","28","28,000","-","15","개인","개인","2019","대정로 93","-","중개거래","인천 부평구","-"
"105","인천광역시 부평구 십정동","607","0607","0000","동암신동아","59.8000","202408","28","25,800","-","14","개인","개인","2000","아트센터로 118","-","중개거래","인천 부평구","-"
"106","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","66.3137","202408","28","41,700","-","8","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"107","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","59.9376","202408","28","39,000","-","15","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"108","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","84.9980","202408","28","35,000","-","5","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"109","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","76.3880","202408","28","35,000","-","10","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"110","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202408","28","36,000","-","9","개인","개인","1995","부흥로 246","-","중개거래","인천 부평구","-"
"111","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202408","27","45,500","-","15","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"112","인천광역시 부평구 갈산동","359","0359","0000","주공1단지","41.3000","202408","27","15,500","-","2","개인","개인","1992","굴포로 81","-","중개거래","인천 부평구","-"
"113","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9680","202408","27","65,000","-","18","개인","개인","2014","길주남로10번길 21","-","중개거래","인천 부평구","-"
"114","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","66.3137","202408","27","40,700","-","4","개인","개인","2021","상정로 41","-","중개거래","인천 부평구","-"
"115","인천광역시 부평구 산곡동","222","0222","0000","한신휴","59.9460","202408","27","34,000","-","15","개인","개인","2003","마장로220번길 13","-","중개거래","인천 부평구","-"
"116","인천광역시 부평구 부평동","70-5","0070","0005","동아(1차)","84.8700","202408","27","55,000","-","6","개인","개인","1988","부평문화로 37","-","중개거래","인천 부평구","-"
"117","인천광역시 부평구 산곡동","43-1","0043","0001","수암","44.8200","202408","27","35,650","-","4","개인","개인","1988","마장로361번길 15","-","중개거래","인천 부평구","-"
"118","인천광역시 부평구 산곡동","510","0510","0000","부평산곡푸르지오","84.3700","202408","27","65,000","-","16","개인","개인","2011","안남로 269","-","중개거래","인천 부평구","-"
"119","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","130.0383","202408","27","100,000","-","18","개인","개인","2004","굴포로 158","-","중개거래","인천 부평구","-"
"120","인천광역시 부평구 부개동","477-5","0477","0005","동아","49.2000","202408","27","31,500","-","6","개인","개인","1988","길주남로113번길 12","-","중개거래","인천 부평구","-"
"121","인천광역시 부평구 산곡동","264-1","0264","0001","뉴서울(264-1)","84.9600","202408","26","28,900","-","17","개인","개인","1991","부흥로123번길 36","-","중개거래","경기 부천시 소사구, 인천 부평구","-"
"122","인천광역시 부평구 청천동","300","0300","0000","삼익","52.3800","202408","26","19,800","-","4","개인","개인","1986","부평대로167번길 43","-","중개거래","인천 부평구","-"
"123","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","84.8500","202408","26","43,600","-","25","개인","개인","1998","안남로 272","-","중개거래","인천 부평구","-"
"124","인천광역시 부평구 부개동","477-5","0477","0005","동아","40.1400","202408","26","25,700","-","5","개인","개인","1988","길주남로113번길 12","-","중개거래","인천 부평구","-"
"125","인천광역시 부평구 부평동","947","0947","0000","래미안부평","84.9710","202408","26","61,500","-","13","개인","개인","2014","길주남로10번길 21","-","중개거래","인천 부평구","-"
"126","인천광역시 부평구 부평동","377-37","0377","0037","카리스뷰(2차)","46.7400","202408","26","19,800","-","6","개인","개인","2015","장제로 163","-","중개거래","경기 부천시 오정구, 인천 부평구","-"
"127","인천광역시 부평구 부평동","995","0995","0000","부평역화성파크드림","84.7388","202408","26","60,000","-","10","개인","개인","2020","동수로 80","-","중개거래","인천 부평구","-"
"128","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","50.1550","202408","26","24,400","-","10","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"129","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","84.9500","202408","26","40,000","-","6","개인","개인","1999","원적로 361","20240905","중개거래","인천 부평구","-"
"130","인천광역시 부평구 부개동","120-347","0120","0347","동산","59.9500","202408","26","10,400","-","4","개인","기타","1984","수변로107번길 35","-","중개거래","인천 부평구","-"
"131","인천광역시 부평구 부개동","477-3","0477","0003","뉴서울","39.4800","202408","25","19,100","-","9","개인","개인","1989","충선로 191","-","중개거래","인천 부평구","-"
"132","인천광역시 부평구 산곡동","124-1","0124","0001","현대(124-1)","59.4000","202408","25","23,000","제506동","16","개인","개인","1993","안남로 260","-","중개거래","인천 부평구","24.09.03"
"133","인천광역시 부평구 산곡동","307","0307","0000","현대1차","131.1600","202408","25","55,000","-","13","개인","개인","1985","경원대로 1269","-","중개거래","인천 부평구","-"
"134","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","84.8900","202408","25","56,000","-","1","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"135","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","39.9900","202408","25","19,500","-","6","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"136","인천광역시 부평구 십정동","182-95","0182","0095","대주파크빌","84.5030","202408","24","32,500","-","16","개인","개인","2001","마장로 49","-","중개거래","인천 부평구","-"
"137","인천광역시 부평구 부평동","180-20","0180","0020","메이져뷰","39.8300","202408","24","15,500","-","4","개인","개인","2013","광장로24번길 67","-","중개거래","인천 부평구","-"
"138","인천광역시 부평구 부평동","495-3","0495","0003","헤르메스아파트A동","49.7400","202408","24","25,000","-","13","개인","개인","2016","부일로 12","-","직거래","-","24.08.27"
"139","인천광역시 부평구 갈산동","369","0369","0000","한국1,동아,팬더","84.3600","202408","24","34,200","-","7","개인","개인","1993","갈월동로 34","-","중개거래","경기 부천시 원미구, 인천 부평구","-"
"140","인천광역시 부평구 산곡동","519","0519","0000","쌍용더플래티넘부평","84.8900","202408","24","63,000","-","12","개인","개인","2022","원적로287번길 25","-","중개거래","인천 부평구","-"
"141","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202408","24","33,700","-","1","개인","개인","1996","부흥로 246","-","중개거래","인천 부평구","-"
"142","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","84.7200","202408","24","59,800","-","16","개인","개인","1995","부흥로 246","-","중개거래","경기 부천시 원미구, 인천 미추홀구","-"
"143","인천광역시 부평구 삼산동","448-1","0448","0001","신성미소지움3단지","101.4800","202408","24","67,500","-","9","개인","개인","2005","수변로 334","-","중개거래","인천 부평구","-"
"144","인천광역시 부평구 삼산동","448-1","0448","0001","신성미소지움3단지","101.4800","202408","24","64,400","-","16","개인","개인","2005","수변로 334","-","중개거래","인천 부평구","-"
"145","인천광역시 부평구 삼산동","40-1","0040","0001","현대","59.9300","202408","24","22,400","-","5","개인","개인","1995","부평북로 407","-","중개거래","인천 부평구","-"
"146","인천광역시 부평구 부개동","501-1","0501","0001","부개주공6","84.7900","202408","24","52,300","-","18","개인","개인","1997","부개로 12","-","중개거래","인천 부평구","-"
"147","인천광역시 부평구 부개동","494-1","0494","0001","대동(494-1)","84.9400","202408","24","34,800","-","3","개인","개인","1991","부일로113번길 11","-","중개거래","인천 부평구","-"
"148","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202408","24","46,000","-","14","개인","개인","2005","굴포로 105","-","중개거래","서울 은평구, 인천 부평구","-"
