"행정구역","2024년08월_총인구수","2024년08월_세대수","2024년08월_세대당 인구","2024년08월_남자 인구수","2024년08월_여자 인구수","2024년08월_남여 비율"
"전국  (1000000000)","51,256,511","24,087,679","          2.13","25,522,808","25,733,703","          0.99"
"서울특별시  (1100000000)","9,355,801","4,487,525","          2.08","4,518,536","4,837,265","          0.93"
"부산광역시  (2600000000)","3,275,593","1,570,760","          2.09","1,594,978","1,680,615","          0.95"
"대구광역시  (2700000000)","2,366,033","1,101,929","          2.15","1,161,164","1,204,869","          0.96"
"인천광역시  (2800000000)","3,014,770","1,368,072","          2.20","1,506,680","1,508,090","          1.00"
"광주광역시  (2900000000)","1,412,063","658,010","          2.15","697,079","714,984","          0.97"
"대전광역시  (3000000000)","1,439,926","686,895","          2.10","717,878","722,048","          0.99"
"울산광역시  (3100000000)","1,099,231","494,386","          2.22","565,290","533,941","          1.06"
"세종특별자치시  (3600000000)","389,370","162,837","          2.39","193,826","195,544","          0.99"
"경기도  (4100000000)","13,675,873","6,039,455","          2.26","6,875,411","6,800,462","          1.01"
"강원특별자치도  (5100000000)","1,521,066","764,793","          1.99","764,911","756,155","          1.01"
"충청북도  (4300000000)","1,590,716","785,621","          2.02","809,546","781,170","          1.04"
"충청남도  (4400000000)","2,135,281","1,048,985","          2.04","1,095,246","1,040,035","          1.05"
"전북특별자치도  (5200000000)","1,743,183","864,007","          2.02","867,993","875,190","          0.99"
"전라남도  (4600000000)","1,792,390","912,733","          1.96","904,171","888,219","          1.02"
"경상북도  (4700000000)","2,540,046","1,291,675","          1.97","1,284,828","1,255,218","          1.02"
"경상남도  (4800000000)","3,233,629","1,535,333","          2.11","1,629,223","1,604,406","          1.02"
"제주특별자치도  (5000000000)","671,540","314,663","          2.13","336,048","335,492","          1.00"
